Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2015-03-12,AZN.L,4479.0,99.6,0.4568,0.3036549906,5.5,1.4907,6761.10009765625
2015-03-13,AZN.L,4557.0,99.6,0.4568,0.3036549906,5.5,1.4755,6740.60009765625
2015-03-16,AZN.L,4634.5,99.6,0.4568,0.3036549906,5.5,1.48,6804.10009765625
2015-03-17,AZN.L,4640.0,99.6,0.4568,0.3036549906,5.5,1.4744,6837.60009765625
2015-03-18,AZN.L,4750.0,99.6,0.4568,0.3036549906,5.5,1.4686,6945.2001953125
2015-03-19,AZN.L,4785.5,99.6,0.4568,0.3036549906,5.5,1.4729,6962.2998046875
2015-03-20,AZN.L,4847.0,99.6,0.4568,0.3036549906,5.5,1.4923,7022.5
2015-03-23,AZN.L,4840.0,99.6,0.4568,0.3036549906,5.5,1.4936,7037.7001953125
2015-03-24,AZN.L,4832.0,99.6,0.4568,0.3036549906,5.5,1.487,7019.7001953125
2015-03-25,AZN.L,4761.5,99.6,0.4568,0.3036549906,5.5,1.4915,6991.0
2015-03-26,AZN.L,4691.0,99.6,0.4568,0.3036549906,5.5,1.4844,6895.2998046875
2015-03-27,AZN.L,4686.0,99.6,0.4568,0.3036549906,5.5,1.4878,6855.0
2015-03-30,AZN.L,4726.5,99.6,0.4568,0.3036549906,5.5,1.4792,6891.39990234375
2015-03-31,AZN.L,4626.5,99.6,0.4568,0.3036549906,5.5,1.485,6773.0
2015-04-01,AZN.L,4640.5,99.9,0.4574,0.4565502418,5.6,1.4823,6809.5
2015-04-02,AZN.L,4645.0,99.9,0.4574,0.4565502418,5.6,1.4842,6833.5
2015-04-07,AZN.L,4707.0,99.9,0.4574,0.4565502418,5.6,1.4857,6961.7998046875
2015-04-08,AZN.L,4697.0,99.9,0.4574,0.4565502418,5.6,1.4924,6937.39990234375
2015-04-09,AZN.L,4764.5,99.9,0.4574,0.4565502418,5.6,1.4739,7015.39990234375
2015-04-10,AZN.L,4753.0,99.9,0.4574,0.4565502418,5.6,1.4648,7089.7998046875
2015-04-13,AZN.L,4718.5,99.9,0.4574,0.4565502418,5.6,1.4658,7064.2998046875
2015-04-14,AZN.L,4800.0,99.9,0.4574,0.4565502418,5.6,1.479,7075.2998046875
